,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_x,-0.001,0.001,-0.003,0.0,0.0,0.0,4823.0,2886.0,1.0
beta_latent[0],-0.006,0.068,-0.144,0.119,0.001,0.001,4791.0,3209.0,1.0
beta_latent[1],-0.044,0.053,-0.146,0.06,0.001,0.001,4634.0,3024.0,1.0
beta_latent[2],0.007,0.066,-0.121,0.138,0.001,0.001,4418.0,2959.0,1.0
beta_latent[3],-0.044,0.054,-0.146,0.064,0.001,0.001,4577.0,3290.0,1.0
beta_latent[4],-0.029,0.06,-0.144,0.092,0.001,0.001,4693.0,3258.0,1.0
beta_latent[5],-0.002,0.051,-0.099,0.102,0.001,0.001,3823.0,3118.0,1.0
beta_latent[6],0.04,0.059,-0.078,0.152,0.001,0.001,3696.0,3078.0,1.0
beta_latent[7],-0.031,0.128,-0.286,0.21,0.002,0.002,4878.0,3117.0,1.0
beta_latent[8],0.023,0.058,-0.086,0.137,0.001,0.001,4116.0,3473.0,1.0
beta_latent[9],0.084,0.06,-0.043,0.191,0.001,0.001,3778.0,3387.0,1.0
beta_latent[10],-0.001,0.052,-0.112,0.094,0.001,0.001,4926.0,3359.0,1.0
beta_latent[11],0.039,0.044,-0.047,0.125,0.001,0.001,4608.0,3250.0,1.0
beta_latent[12],0.062,0.051,-0.039,0.158,0.001,0.001,4146.0,2947.0,1.0
beta_latent[13],0.003,0.065,-0.129,0.124,0.001,0.001,5309.0,3173.0,1.0
beta_latent[14],0.019,0.05,-0.078,0.113,0.001,0.001,4797.0,3259.0,1.0
beta_latent[15],0.012,0.061,-0.108,0.131,0.001,0.001,4382.0,3084.0,1.0
beta_latent[16],-0.001,0.037,-0.073,0.069,0.001,0.001,4165.0,3276.0,1.0
beta_latent[17],-0.008,0.063,-0.135,0.118,0.001,0.001,4070.0,3488.0,1.0
beta_latent[18],-0.018,0.063,-0.137,0.112,0.001,0.001,4334.0,3214.0,1.0
beta_latent[19],-0.012,0.056,-0.12,0.099,0.001,0.001,4914.0,3483.0,1.0
beta_latent[20],-0.02,0.048,-0.112,0.073,0.001,0.001,4529.0,3604.0,1.0
beta_latent[21],-0.037,0.066,-0.163,0.094,0.001,0.001,3652.0,3485.0,1.0
beta_latent[22],0.063,0.046,-0.02,0.158,0.001,0.001,4405.0,3536.0,1.0
beta_latent[23],-0.011,0.047,-0.105,0.076,0.001,0.001,4595.0,3511.0,1.0
beta_latent[24],0.009,0.057,-0.1,0.124,0.001,0.001,4258.0,3199.0,1.0
beta_latent[25],-0.077,0.046,-0.166,0.013,0.001,0.001,3642.0,3352.0,1.0
beta_latent[26],-0.065,0.052,-0.167,0.034,0.001,0.001,4332.0,3123.0,1.0
beta_latent[27],-0.108,0.057,-0.217,0.009,0.001,0.001,4288.0,3243.0,1.0
beta_latent[28],0.03,0.056,-0.081,0.144,0.001,0.001,4110.0,3061.0,1.0
beta_latent[29],0.07,0.055,-0.034,0.179,0.001,0.001,5109.0,3658.0,1.0
beta_latent[30],0.057,0.066,-0.074,0.181,0.001,0.001,4419.0,3498.0,1.0
beta_latent[31],0.025,0.051,-0.073,0.127,0.001,0.001,4039.0,3148.0,1.0
beta_latent[32],0.094,0.051,-0.007,0.191,0.001,0.001,4716.0,2970.0,1.0
beta_latent[33],0.064,0.065,-0.066,0.191,0.001,0.001,4449.0,3330.0,1.0
beta_latent[34],0.064,0.039,-0.014,0.138,0.001,0.001,4873.0,3526.0,1.0
beta_latent[35],0.09,0.057,-0.017,0.206,0.001,0.001,4028.0,3709.0,1.0
beta_latent[36],-0.004,0.043,-0.088,0.084,0.001,0.001,5174.0,3105.0,1.0
beta_latent[37],0.101,0.051,-0.002,0.197,0.001,0.001,3875.0,3323.0,1.0
beta_latent[38],0.003,0.045,-0.082,0.095,0.001,0.001,3916.0,3214.0,1.0
beta_latent[39],0.027,0.048,-0.071,0.12,0.001,0.001,3919.0,3187.0,1.0
beta_latent[40],-0.025,0.066,-0.151,0.103,0.001,0.001,3842.0,3084.0,1.0
beta_latent[41],-0.006,0.055,-0.114,0.103,0.001,0.001,3803.0,3263.0,1.0
beta_latent[42],-0.048,0.056,-0.157,0.06,0.001,0.001,4589.0,3458.0,1.0
beta_latent[43],-0.033,0.07,-0.168,0.103,0.001,0.001,4447.0,3088.0,1.0
beta_latent[44],-0.009,0.054,-0.116,0.098,0.001,0.001,4614.0,3246.0,1.0
beta_latent[45],-0.099,0.053,-0.202,0.003,0.001,0.001,4504.0,3360.0,1.0
beta_latent[46],0.069,0.047,-0.027,0.162,0.001,0.001,4408.0,3481.0,1.0
beta_latent[47],0.041,0.039,-0.037,0.115,0.001,0.001,3772.0,3086.0,1.0
beta_latent[48],0.019,0.047,-0.072,0.11,0.001,0.001,4257.0,3281.0,1.0
beta_latent[49],0.046,0.036,-0.028,0.113,0.001,0.001,3956.0,2979.0,1.0
beta_latent[50],-0.015,0.065,-0.144,0.111,0.001,0.001,4985.0,3091.0,1.0
beta_latent[51],0.034,0.047,-0.061,0.118,0.001,0.001,4488.0,3085.0,1.0
beta_latent[52],0.199,0.074,0.05,0.342,0.001,0.001,5108.0,3035.0,1.0
beta_latent[53],-0.044,0.044,-0.128,0.044,0.001,0.001,3846.0,3086.0,1.0
beta_latent[54],0.032,0.061,-0.09,0.15,0.001,0.001,4104.0,3419.0,1.0
beta_latent[55],0.062,0.046,-0.029,0.147,0.001,0.001,4206.0,3302.0,1.0
beta_latent[56],0.008,0.04,-0.068,0.087,0.001,0.001,4424.0,2895.0,1.0
beta_latent[57],-0.021,0.075,-0.174,0.121,0.001,0.001,4574.0,3304.0,1.0
beta_latent[58],0.007,0.051,-0.09,0.107,0.001,0.001,4716.0,3120.0,1.0
beta_latent[59],0.173,0.11,-0.057,0.373,0.002,0.001,4411.0,3262.0,1.0
beta_latent[60],-0.004,0.052,-0.109,0.095,0.001,0.001,3721.0,2887.0,1.0
beta_latent[61],-0.01,0.041,-0.09,0.07,0.001,0.001,3903.0,3209.0,1.0
beta_latent[62],-0.018,0.05,-0.124,0.073,0.001,0.001,4752.0,2755.0,1.0
beta_latent[63],0.059,0.045,-0.026,0.149,0.001,0.001,4414.0,3022.0,1.0
