...1,Fuzzy Name,P value serum metformin,Q value serum metformin,Spearman Rho serum metformin,P value HbA1c,Q value HbA1c,Spearman Rho HbA1c,CHEM_ID,LIB_ID,COMP_ID,CHRO_LIB_ENTRY_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,PLATFORM
1,arginine,2.42e-35,9.97e-34,-0.395963417,1.77e-7,5.4e-7,-0.173184819,231,400,1638,155435,Amino Acid,Urea cycle; Arginine and Proline Metabolism,483,NAMED,ODKSFYDXXFIFQN-UHFFFAOYAT,N=C(N)NCCCC(N)C(O)=O,arginine,arginine,1119-34-2,227,HMDB0000517,C00062,6322,Pos Early
2,deoxycholate,2.47e-22,3.17e-21,0.315270666,1.3300000000000001e-21,1.47e-20,0.311098681,302,209,1114,125714,Lipid,Secondary Bile Acid Metabolism,3480,NAMED,KXGVEGMKQFWNSR-LLQZFEROBK,CC12[C@@]([C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@@H]2O)([H])CC[C@]1([H])[C@]([H])(C)CCC(O)=O,deoxycholate,deoxycholate,83-44-3,389318,HMDB0000626,C04483,"222528,440355",Neg
3,lactose,8.6e-40,6.48e-38,0.419053641,3.3400000000000003e-63,2.8299999999999997e-61,0.519449242,393,305,567,147468,Carbohydrate,Disaccharides and Oligosaccharides,1305,NAMED,GUBGYTABKSRVRQ-DCSYEGIMBP,O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O,lactose,lactose,5965-66-2,5904,HMDB0041627,C01970,6134,Polar
9,indolebutyrate,4.64e-7,1.53e-6,-0.166612549,2.83e-5,6.7e-5,-0.139233276,100001404,209,34402,150358,Amino Acid,Tryptophan Metabolism,317,NAMED,JTEDVYBZBROSJT-UHFFFAOYAT,OC(CCCC1=CNC2=C1C=CC=C2)=O,indolebutyrate,indolebutyrate,133-32-4,8298,HMDB0002096,C11284,8617,Neg
11,orotidine,1.46e-20,1.66e-19,0.302172109,1.71e-10,7.48e-10,0.210959756,100001416,305,35172,147813,Nucleotide,"Pyrimidine Metabolism, Orotate containing",4210,NAMED,FKCRAVPPBFWEJD-XVFCMESIBQ,O=C(C=C(C(O)=O)N1[C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)NC1=O,orotidine,orotidine,314-50-1,83729,HMDB0000788,NA,92751,Polar
17,palmitoloelycholine,1.68e-27,3.46e-26,-0.350171297,6.1900000000000005e-65,6e-63,-0.52562339,100009334,402,53257,179341,Lipid,Fatty Acid Metabolism (Acyl Choline),1946,NAMED,NA,O=C(CCCCCCC/[C-]=C/CCCCCC)OCC[N+](C)(C)C,palmitoloelycholine,palmitoloelycholine,NA,NA,HMDB0013208,NA,NA,Pos Late
8,erythronate.,6.66e-29,1.5300000000000001e-27,0.358922105,4.87e-25,7.039999999999999e-24,0.335329037,100001320,305,42420,148204,Carbohydrate,Aminosugar Metabolism,1432,NAMED,JPIJQSOTBSSVTP-PWNYCUMCBA,OC[C@@H](O)[C@@H](O)C(O)=O,erythronate*,erythronate*,88759-55-1,2061231,HMDB0000613,NA,2781043,Polar
10,N4.acetylcytidine,1.24e-14,8.53e-14,0.252537982,3.19e-9,1.22e-8,0.195956831,100001413,400,35130,156149,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",4257,NAMED,NIDVTARKFBZMOT-PEBGCTIMBU,O[C@]1([H])[C@@](O)([H])[C@](CO)([H])O[C@]1(N2C(N=C(NC(C)=O)C=C2)=O)[H],N4-acetylcytidine,N4-acetylcytidine,3768-18-1,96702,HMDB0005923,NA,107461,Pos Early
32,X.10458,0.002370048,0.004793077,0.100916427,2.44e-10,1.04e-9,0.209201424,999910458,209,47478,148974,NA,NA,NA,UNNAMED,NA,NA,X-10458,X-10458,NA,NA,NA,NA,NA,Neg
33,X.16087,1.55e-16,1.21e-15,0.269590743,5.66e-13,3.28e-12,0.23743478,999916087,209,47988,150190,NA,NA,NA,UNNAMED,NA,NA,X-16087,X-16087,NA,NA,NA,NA,NA,Neg
34,X.16397,5.3799999999999996e-42,6.6399999999999995e-40,-0.429851671,3.99e-14,2.64e-13,-0.248701135,999916397,400,47802,157623,NA,NA,NA,UNNAMED,NA,NA,X-16397,X-16397,NA,NA,NA,NA,NA,Pos Early
35,X.23662,4.48e-33,1.5599999999999998e-31,0.383460779,9.22e-36,2.7199999999999998e-34,0.399644175,999923662,400,49539,161220,NA,NA,NA,UNNAMED,NA,NA,X-23662,X-23662,NA,NA,NA,NA,NA,Pos Early
36,X.24411,2.88e-17,2.3e-16,0.275849111,5.18e-13,3.03e-12,0.237815859,999924411,400,52640,165393,NA,NA,NA,UNNAMED,NA,NA,X-24411,X-24411,NA,NA,NA,NA,NA,Pos Early
37,X.24736,2.97e-6,8.87e-6,-0.154601617,1.34e-10,5.96e-10,-0.212160571,999924736,400,53172,166597,NA,NA,NA,UNNAMED,NA,NA,X-24736,X-24736,NA,NA,NA,NA,NA,Pos Early
38,X.25957,0.042921813,0.066871297,0.067312356,0.001551385,0.002875997,0.105466166,999925957,400,63908,223734,NA,NA,NA,UNNAMED,NA,NA,X-25957,X-25957,NA,NA,NA,NA,NA,Pos Early
6,X2.hydroxyadipate,0.045425539,0.070287864,0.066523531,0.001027918,0.001959107,0.109371076,100001153,305,31934,145806,Lipid,"Fatty Acid, Dicarboxylate",1668,NAMED,OTTXIFWBPRRYOG-UHFFFAOYAL,O=C(O)C(O)CCCC(O)=O,2-hydroxyadipate,2-hydroxyadipate,18294-85-4,167943,HMDB0000321,C02360,193530,Polar
18,dihomo.linolenoyl.choline,2.1e-27,4.25e-26,-0.349558574,3.65e-69,3.8099999999999995e-67,-0.540184315,100009335,402,53262,179349,Lipid,Fatty Acid Metabolism (Acyl Choline),1948,NAMED,NA,O=C(CCCCCC/C=[C-]/C/C=C/C/C=C/CCCCC)OCC[N+](C)(C)C,dihomo-linolenoyl-choline,dihomo-linolenoyl-choline,NA,NA,HMDB0240646,NA,NA,Pos Late
27,N.stearoylserine.,6.32e-25,1.0799999999999999e-23,-0.333344081,4.88e-34,1.3e-32,-0.390231065,100019957,209,61822,218242,Lipid,Endocannabinoid,2198,NAMED,CLHUCXCVFSEJRR-UHFFFAOYAZ,CCCCCCCCCCCCCCCCCC(NC(C(O)=O)CO)=O,N-stearoylserine*,N-stearoylserine*,NA,15545488,NA,NA,NA,Neg
29,dihydroferulic.acid.sulfate,5.11e-13,3e-12,0.236976341,2.7e-7,7.99e-7,0.170619711,100020272,305,62857,220634,Xenobiotics,Food Component/Plant,4881,NAMED,UMCDODPBPQMWQP-UHFFFAOYAJ,COC1=C(OS(=O)(O)=O)C=CC(CCC(O)=O)=C1,dihydroferulic acid sulfate,dihydroferulic acid sulfate,NA,162994,HMDB0041724,NA,187489,Polar
28,X2.hydroxyheptanoate.,3.21e-20,3.46e-19,0.299561157,7.33e-17,5.82e-16,0.273422495,100019960,305,61827,218249,Lipid,"Fatty Acid, Monohydroxy",1960,NAMED,RGMMREBHCYXQMA-UHFFFAOYAG,OC(C(O)CCCCC)=O,2-hydroxyheptanoate*,2-hydroxyheptanoate*,NA,2032206,NA,NA,2750949,Polar
4,X3.methyl.2.oxovalerate,2.74e-31,7.76e-30,0.373207038,9.04e-28,1.5700000000000001e-26,0.353157822,100000036,209,15676,123263,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",394,NAMED,JVQYSWDUAOAHFM-UHFFFAOYAW,CCC(C)C(C(O)=O)=O,3-methyl-2-oxovalerate,3-methyl-2-oxovalerate,"51829-07-3,1460-34-0",46,HMDB0000491,"C03465,C06008,C00671","439286,440877",Neg
26,docosapentaenoylcarnitine..C22.5n3..,0.005893919,0.010956231,-0.091468083,1.78676e-4,3.83038e-4,-0.124737446,100015851,402,57529,211230,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)",1901,NAMED,NA,O=C(OC(CC([O-])=O)C[N+](C)(C)C)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,docosapentaenoylcarnitine (C22:5n3)*,docosapentaenoylcarnitine (C22:5n3)*,NA,NA,NA,NA,71464594,Pos Late
30,X3.hydroxyhexanoylcarnitine..1.,2.01e-16,1.53e-15,0.268630114,1.73e-6,4.68e-6,0.15879597,100020825,400,62557,219908,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",1922,NAMED,NA,C[N+](C)(C)CC(OC(CC(O)CCC)=O)CC([O-])=O,3-hydroxyhexanoylcarnitine (1),3-hydroxyhexanoylcarnitine (1),NA,NA,NA,NA,NA,Pos Early
7,X5.dodecenoate..12.1n7.,1.66e-10,7.73e-10,-0.210304743,2.2e-8,7.61e-8,-0.185362884,100001232,209,33968,126127,Lipid,Medium Chain Fatty Acid,1505,NAMED,IJBFSOLHRKELLR-FPLPWBNLBG,CCCCCC\C=C/CCCC(O)=O,5-dodecenoate (12:1n7),5-dodecenoate (12:1n7),2430-94-6,4471803,HMDB0000529,NA,5312378,Neg
31,eicosenedioate..C20.1.DC..,2.91059e-4,6.75159e-4,-0.120166335,0.070805002,0.097943311,0.060320342,100021105,209,62923,220779,Lipid,"Fatty Acid, Dicarboxylate",1704,NAMED,NA,OC(CCCCCCCCC/C=C\CCCCCCCC(O)=O)=O,eicosenedioate (C20:1-DC)*,eicosenedioate (C20:1-DC)*,NA,NA,NA,NA,NA,Neg
5,X1.stearoyl.GPI..18.0.,3.26e-12,1.8e-11,-0.228802301,1.18e-11,5.79e-11,-0.223770708,100000656,209,19324,128173,Lipid,Lysophospholipid,2722,NAMED,LXUGKKVCSTYZFK-DYLKWFMLBW,[H]C(C(O)(C(O)([C@](O)1[H])[H])[H])([C@@](OP(O)(OC[C@@]([H])(COC(CCCCCCCCCCCCCCCCC)=O)O)=O)([C@]1(O)[H])[H])O,1-stearoyl-GPI (18:0),1-stearoyl-GPI (18:0),796963-93-4,21403067,HMDB0240261,NA,"71581135,42607495",Neg
25,sphingomyelin..d18.2.23.1..,8.09e-19,7.68e-18,-0.288586135,5.05e-14,3.3e-13,-0.247719211,100015791,402,57482,211145,Lipid,Sphingomyelins,3111,NAMED,NA,CCC/C=C/CCCCCCCC/C=C/[C@@H](O)[C@@H](NC(CCCCCCCCCCCCCCCCC/C=C/CCC)=O)COP([O-])(OCC[N+](C)(C)C)=O,sphingomyelin (d18:2/23:1)*,sphingomyelin (d18:2/23:1)*,NA,NA,HMDB0240668,NA,NA,Pos Late
13,X5alpha.androstan.3alpha.17beta.diol.monosulfate..2.,2.06e-8,7.73e-8,0.185032062,7.74e-7,2.18e-6,0.164017591,100006005,209,37185,144272,Lipid,Androgenic Steroids,3380,NAMED,NA,C[C@@]12[C@](CCC3C2CC[C@@]4(C)C3CC[C@@H]4O)([H])C[C@H](OS(=O)(O)=O)CC1,"5alpha-androstan-3alpha,17beta-diol monosulfate (2)","5alpha-androstan-3alpha,17beta-diol monosulfate (2)",NA,NA,NA,NA,121596225,Neg
12,sphingomyelin..d18.2.14.0..d18.1.14.1..,7.64e-14,4.71e-13,-0.245061732,2.74e-9,1.05e-8,-0.196776059,100005985,402,47154,164532,Lipid,Sphingomyelins,3115,NAMED,NA,CCCC/C=C/CCCCCCCC(N[C@@](COP([O-])(OCC[N+](C)(C)C)=O)([C@](O)(/C=C/CCCCCCCCCCCCC)[H])[H])=O,"sphingomyelin (d18:2/14:0, d18:1/14:1)*","sphingomyelin (d18:2/14:0, d18:1/14:1)*",NA,NA,"HMDB0240637,HMDB0240612",NA,NA,Pos Late
14,X1.palmitoyl.2.docosahexaenoyl.GPE..16.0.22.6..,1.27e-11,6.56e-11,0.222599908,4.23e-11,1.96e-10,0.217765585,100008991,402,52465,165133,Lipid,Phosphatidylethanolamine (PE),2419,NAMED,MPWUZHVZZKSTPV-MADBQMNMBW,O=C(CCCCCCCCCCCCCCC)OC[C@]([H])(COP(OCCN)(O)=O)OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,NA,7825749,HMDB0008946,NA,9546799,Pos Late
15,X1.stearoyl.2.docosahexaenoyl.GPE..18.0.22.6..,6.519999999999999e-23,9.52e-22,0.319412806,2.4e-28,4.45e-27,0.35677866,100008992,402,52466,165134,Lipid,Phosphatidylethanolamine (PE),2443,NAMED,XYYHNDVKALDFHQ-OXHZBIAZBI,O=C(CCCCCCCCCCCCCCCCC)OC[C@]([H])(COP(OCCN)(O)=O)OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*,NA,7825748,HMDB0009012,NA,9546798,Pos Late
16,X1.oleoyl.2.docosahexaenoyl.GPE..18.1.22.6..,1.53e-16,1.2e-15,0.269651579,9.84173e-4,0.00188713,0.109776431,100009220,402,53209,166647,Lipid,Phosphatidylethanolamine (PE),2452,NAMED,NA,O=C(CCCCCCC/C=C\CCCCCCCC)OC[C@]([H])(COP(OCCN)(O)=O)OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O,1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*,1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*,NA,24768542,HMDB0009078,NA,52922113,Pos Late
19,linoleoyl.arachidonoyl.glycerol..18.2.20.4...2..,3.85e-19,3.76e-18,0.291157747,9.53e-22,1.08e-20,0.312161475,100010923,402,54956,208041,Lipid,Diacylglycerol,2943,NAMED,NA,OC[C@](COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)([H])OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,NA,NA,HMDB0007257,NA,9543796,Pos Late
20,oleoyl.arachidonoyl.glycerol..18.1.20.4...2..,4.89e-28,1.05e-26,0.353552499,2.7899999999999997e-34,7.71e-33,0.391580625,100010937,402,54961,208046,Lipid,Diacylglycerol,2941,NAMED,NA,CCCCCCCC/C=C/CCCCCCCC(OCC(OC(CCC/C=C/C/C=C/C/C=C/C/C=C/CCCCC)=O)CO)=O,oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,NA,NA,HMDB0007228,NA,9543786,Pos Late
21,linoleoyl.linoleoyl.glycerol..18.2.18.2...1..,6.09e-13,3.55e-12,0.236218084,1.59e-12,8.69e-12,0.232872231,100010941,402,54968,208053,Lipid,Diacylglycerol,2932,NAMED,NA,CCCCC/C=C/C/C=C/CCCCCCCC(OCC(OC(CCCCCCC/C=C/C/C=C/CCCCC)=O)CO)=O,linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*,linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*,NA,NA,HMDB0007248,NA,9543729,Pos Late
22,linoleoyl.linoleoyl.glycerol..18.2.18.2...2..,0.003322769,0.006525322,0.097504181,1.13e-7,3.54e-7,0.175890085,100010942,402,54969,208054,Lipid,Diacylglycerol,2933,NAMED,NA,CCCCC/C=C/C/C=C/CCCCCCCC(OCC(OC(CCCCCCC/C=C/C/C=C/CCCCC)=O)CO)=O,linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*,linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*,NA,NA,HMDB0007248,NA,9543729,Pos Late
23,glycosyl.ceramide..d18.2.24.1..d18.1.24.2..,1.47e-41,1.53e-39,-0.427746446,1.0699999999999998e-37,3.31e-36,-0.409849825,100015745,402,57453,211107,Lipid,Hexosylceramides (HCER),3083,NAMED,NA,OC(/C=C/CCCCCCCC/C=C\CCC)C(COC1C(O)C(O)C(O)C(CO)O1)NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O,"glycosyl ceramide (d18:2/24:1, d18:1/24:2)*","glycosyl ceramide (d18:2/24:1, d18:1/24:2)*",NA,NA,NA,NA,NA,Pos Late
24,glycosyl.ceramide..d18.1.23.1..d17.1.24.1..,1.65e-10,7.7e-10,-0.210344514,4.63e-19,4.39e-18,-0.291606547,100015751,402,57448,211102,Lipid,Hexosylceramides (HCER),3082,NAMED,NA,CCCCCCCCCCCCC/C=C/C(O)C(NC(CCCCCCCCC/C=C/CCCCCCCCCCC)=O)COC1OC(CO)C(O)C(O)C1O,"glycosyl ceramide (d18:1/23:1, d17:1/24:1)*","glycosyl ceramide (d18:1/23:1, d17:1/24:1)*",NA,NA,NA,NA,NA,Pos Late
