Name,Effect Size of HbA1c,Effect Size of Serum Metformin
arginine,-0.173184819,-0.395963417
deoxycholate,0.311098681,0.315270666
lactose,0.519449242,0.419053641
X3.methyl.2.oxovalerate,0.353157822,0.373207038
X1.stearoyl.GPI..18.0.,-0.223770708,-0.228802301
X5.dodecenoate..12.1n7.,-0.185362884,-0.210304743
erythronate.,0.335329037,0.358922105
N4.acetylcytidine,0.195956831,0.252537982
orotidine,0.210959756,0.302172109
sphingomyelin..d18.2.14.0..d18.1.14.1..,-0.196776059,-0.245061732
X5alpha.androstan.3alpha.17beta.diol.monosulfate..2.,0.164017591,0.185032062
X1.palmitoyl.2.docosahexaenoyl.GPE..16.0.22.6..,0.217765585,0.222599908
X1.stearoyl.2.docosahexaenoyl.GPE..18.0.22.6..,0.35677866,0.319412806
palmitoloelycholine,-0.52562339,-0.350171297
dihomo.linolenoyl.choline,-0.540184315,-0.349558574
linoleoyl.arachidonoyl.glycerol..18.2.20.4...2..,0.312161475,0.291157747
oleoyl.arachidonoyl.glycerol..18.1.20.4...2..,0.391580625,0.353552499
linoleoyl.linoleoyl.glycerol..18.2.18.2...1..,0.232872231,0.236218084
linoleoyl.linoleoyl.glycerol..18.2.18.2...2..,0.175890085,0.097504181
glycosyl.ceramide..d18.2.24.1..d18.1.24.2..,-0.409849825,-0.427746446
glycosyl.ceramide..d18.1.23.1..d17.1.24.1..,-0.291606547,-0.210344514
sphingomyelin..d18.2.23.1..,-0.247719211,-0.288586135
N.stearoylserine.,-0.390231065,-0.333344081
X2.hydroxyheptanoate.,0.273422495,0.299561157
dihydroferulic.acid.sulfate,0.170619711,0.236976341
X3.hydroxyhexanoylcarnitine..1.,0.15879597,0.268630114
X.10458,0.209201424,0.100916427
X.16087,0.23743478,0.269590743
X.16397,-0.248701135,-0.429851671
X.23662,0.399644175,0.383460779
X.24411,0.237815859,0.275849111
X.24736,-0.212160571,-0.154601617
X12.13.DiHOME,NA,-0.228744764
X3.hydroxy.3.methylglutarate,NA,0.252365335
cholate,NA,-0.188007086
X4.hydroxyphenylacetate,NA,0.290312453
N6.N6.N6.trimethyllysine,NA,-0.616790843
N.formylmethionine,NA,0.207075774
X2.hydroxyphenylacetate,NA,0.156865573
fumarate,NA,0.136462125
citrulline,NA,-0.459528256
malate,NA,0.264063688
retinol..Vitamin.A.,NA,0.236695788
adenosine,NA,0.069340546
alanine,NA,0.40938392
caproate..6.0.,NA,0.156482871
pantothenate,NA,0.182276338
N.acetylalanine,NA,0.166872497
choline,NA,0.068327291
benzoate,NA,0.159685137
N.acetylglutamate,NA,0.209292995
maleate,NA,0.3164341
X4.acetylphenol.sulfate,NA,-0.21249581
X3.hydroxyoctanoate,NA,0.430312101
homocitrulline,NA,0.28054384
X3.hydroxydecanoate,NA,0.344956688
glycolithocholate,NA,0.16008248
X3.hydroxylaurate,NA,0.146635898
X3.hydroxysebacate,NA,0.366087421
X5.hydroxyhexanoate,NA,0.126288192
X2.hydroxyadipate,NA,0.066523531
X1.methylhistamine,NA,0.162910254
tauro.beta.muricholate,NA,-0.278346138
N.acetylthreonine,NA,0.123016961
N.acetylisoleucine,NA,0.292587254
hyocholate,NA,-0.219647809
nicotinamide.riboside,NA,0.16515057
HWESASXX.,NA,0.083222183
indolebutyrate,NA,-0.166612549
X2.myristoylglycerol..14.0.,NA,-0.070027238
isovalerylglycine,NA,-0.095056171
X3.hydroxydodecanedioate.,NA,0.357224094
X1.docosahexaenoylglycerol..22.6.,NA,-0.074317111
X2.palmitoleoyl.GPC..16.1..,NA,-0.21053407
gulonate.,NA,0.122089047
undecanedioate..C11.DC.,NA,0.08778956
X1.palmitoyl.GPI..16.0.,NA,-0.212439412
taurolithocholate.3.sulfate,NA,-0.188130602
X3.4.dihydroxybutyrate,NA,0.299067318
N.acetylserine,NA,0.120571105
chiro.inositol,NA,-0.067783463
taurocholenate.sulfate.,NA,-0.191904687
dexpanthenol,NA,-0.104091685
ethyl.glucuronide,NA,-0.095981166
oleoyl.linoleoyl.glycerol..18.1.18.2...1.,NA,0.263127044
oleoyl.linoleoyl.glycerol..18.1.18.2...2.,NA,0.276618609
beta.citrylglutamate,NA,0.256595864
trimethylamine.N.oxide,NA,0.221991737
dihydroferulate,NA,0.121064848
phenylalanylalanine,NA,-0.168256543
prolylglycine,NA,0.301923984
succinimide,NA,0.108783789
diglycerol,NA,0.134019865
X.R..3.hydroxybutyrylcarnitine,NA,0.391390803
histidine.betaine..hercynine..,NA,-0.174230559
retinal,NA,0.085449634
X3.hydroxyadipate,NA,0.464986908
methionine.sulfone,NA,0.176489162
X17alpha.hydroxypregnanolone.glucuronide,NA,0.165029322
X1.oleoyl.GPG..18.1..,NA,0.142981135
sphingomyelin..d18.1.24.1..d18.2.24.0..,NA,-0.314722926
N.formylphenylalanine,NA,-0.087746718
X4.methoxyphenol.sulfate,NA,-0.189894431
X2.docosahexaenoylglycerol..22.6..,NA,-0.17862709
dopamine.4.sulfate,NA,0.220033678
X3.hydroxyhexanoate,NA,0.177329021
taurodeoxycholic.acid.3.sulfate,NA,-0.194065931
linoleoyl.ethanolamide,NA,-0.091338821
X4.HDoHE,NA,-0.095984139
sphingomyelin..d18.2.24.1..d18.1.24.2..,NA,-0.412977138
X1.stearoyl.2.arachidonoyl.GPE..18.0.20.4.,NA,0.318674042
X1.palmitoyl.2.arachidonoyl.GPE..16.0.20.4..,NA,0.291410299
lactosyl.N.palmitoyl.sphingosine..d18.1.16.0.,NA,-0.415862546
phenylacetylglutamate,NA,0.187713039
X1.oleoyl.2.arachidonoyl.GPE..18.1.20.4..,NA,0.252089547
X1.oleoyl.2.docosahexaenoyl.GPE..18.1.22.6..,NA,0.269651579
X2.methylserine,NA,0.080377022
X.S..3.hydroxybutyrylcarnitine,NA,0.492006955
caffeic.acid.sulfate,NA,0.226101867
pimeloylcarnitine.3.methyladipoylcarnitine..C7.DC.,NA,-0.382242884
X4.acetamidobenzoate,NA,-0.215330592
indolepropionylglycine,NA,-0.315869526
X2.3.dihydroxy.2.methylbutyrate,NA,0.207945627
oleoyl.oleoyl.glycerol..18.1.18.1....1..,NA,0.264498038
oleoyl.oleoyl.glycerol..18.1.18.1...2..,NA,0.236140653
palmitoleoyl.linoleoyl.glycerol..16.1.18.2...1..,NA,0.226500928
oleoyl.arachidonoyl.glycerol..18.1.20.4...1..,NA,0.334229868
diacylglycerol..16.1.18.2..2...16.0.18.3..1...,NA,0.278238947
palmitoyl.docosahexaenoyl.glycerol..16.0.22.6...1..,NA,0.211573352
lactosyl.N.nervonoyl.sphingosine..d18.1.24.1..,NA,-0.410410361
N.stearoyl.sphingadienine..d18.2.18.0..,NA,0.096605605
glycosyl.N.tricosanoyl.sphingadienine..d18.2.23.0..,NA,-0.3199577
X1.cerotoyl.GPC..26.0..,NA,-0.180031514
nisinate..24.6n3.,NA,0.151135668
sphingomyelin..d18.2.24.2..,NA,-0.352351253
docosapentaenoylcarnitine..C22.5n3..,NA,-0.091468083
N.N.N.trimethyl.5.aminovalerate,NA,0.329057475
X2.hydroxyarachidate.,NA,0.170768351
gamma.glutamylcitrulline.,NA,-0.460989494
glutamine.conjugate.of.C6H10O2..1..,NA,0.173507096
glutamine.conjugate.of.C6H10O2..2..,NA,0.17226362
X3.amino.2.piperidone,NA,-0.188617542
ascorbic.acid.3.sulfate.,NA,0.130534798
cholic.acid.glucuronide,NA,-0.280251983
X4.acetylcatechol.sulfate..1.,NA,-0.169958614
dimethylguanidino.valeric.acid..DMGV..,NA,0.37819897
X5.hydroxy.2.methylpyridine.sulfate,NA,-0.081044496
X5.hydroxymethyl.2.furoylcarnitine.,NA,0.164388405
taurochenodeoxycholic.acid.3.sulfate,NA,-0.333427489
eicosenedioate..C20.1.DC..,NA,-0.120166335
X3.decenoylcarnitine,NA,0.142632406
levulinoylcarnitine,NA,0.249307832
X.2.or.3..decenoate..10.1n7.or.n8.,NA,0.062971478
branched.chain..straight.chain..or.cyclopropyl.10.1.fatty.acid..1..,NA,-0.278425385
bilirubin.degradation.product..C16H18N2O5..1...,NA,-0.116151418
bilirubin.degradation.product..C16H18N2O5..2...,NA,-0.095214342
bilirubin.degradation.product..C17H20N2O5..1...,NA,-0.063916876
bilirubin.degradation.product..C16H18N2O5..3...,NA,-0.122602612
bilirubin.degradation.product..C16H18N2O5..4...,NA,-0.120825858
X.11787,NA,0.225024433
X.12007,NA,0.19656773
X.12101,NA,0.245625267
X.12680,NA,0.082075486
X.12714,NA,0.200257708
X.12718,NA,0.292282515
X.12726,NA,-0.221746216
X.12738,NA,-0.077773766
X.12830,NA,-0.087372585
X.13507,NA,0.277952533
X.13723,NA,0.179748433
X.13729,NA,0.139842325
X.15461,NA,0.389122015
X.16580,NA,0.322554374
X.16964,NA,0.078363562
X.17328,NA,0.127153715
X.17343,NA,0.080273519
X.17673,NA,0.111181688
X.17969,NA,-0.151275029
X.18886,NA,0.330656039
X.18922,NA,0.255060291
X.19438,NA,0.203942916
X.21736,NA,0.27991193
X.21839,NA,-0.091768506
X.21842,NA,-0.218519009
X.21845,NA,-0.071440369
X.22834,NA,0.246875505
X.23593,NA,0.247834871
X.23641,NA,0.248262856
X.23648,NA,0.331842709
X.23997,NA,0.066914137
X.24243,NA,0.194249107
X.24410,NA,0.30130364
X.24425,NA,-0.136910588
X.24519,NA,0.312832096
X.24549,NA,0.094669087
X.24669,NA,-0.135038843
X.24728,NA,0.327558916
X.24747,NA,-0.098285334
X.25418,NA,0.095536749
X.25454,NA,0.274451582
X.25855,NA,0.344190331
X.25957,NA,0.067312356
X.26107,NA,0.359694797
X.26108,NA,0.52083171
alpha.ketoglutarate,0.343230545,NA
X5.methylthioadenosine..MTA.,0.228374529,NA
aspartate,0.192249892,NA
choline.phosphate,-0.209805151,NA
gluconate,0.442561752,NA
glutarate..C5.DC.,0.185896065,NA
glycocholate,0.185223383,NA
isoleucine,0.494592513,NA
leucine,0.493842111,NA
leukotriene.B4,0.187666712,NA
orotate,-0.186976416,NA
phytanate,-0.179527736,NA
pyridoxal,-0.223971624,NA
glutamate,0.442977526,NA
glutamine,-0.226189066,NA
valine,0.45670803,NA
glucose,0.742055735,NA
alpha.ketobutyrate,0.334601592,NA
mannose,0.632315282,NA
pyruvate,0.487673311,NA
arabinose,0.193015611,NA
fructose,0.420377252,NA
maltose,0.314249296,NA
xanthine,0.267449252,NA
glycerate,-0.255352509,NA
N.acetylleucine,0.434755077,NA
bilirubin..Z.Z.,-0.272922524,NA
vanillylmandelate..VMA.,-0.154248356,NA
X3.aminoisobutyrate,-0.25232805,NA
chenodeoxycholate,0.162361106,NA
urate,0.228313077,NA
gamma.glutamylglutamine,-0.236334696,NA
gamma.glutamylleucine,0.373365414,NA
beta.hydroxyisovalerate,0.258212025,NA
X1.palmitoyl.2.oleoyl.GPE..16.0.18.1.,0.355819316,NA
X1.palmitoyl.2.linoleoyl.GPI..16.0.18.2.,0.168917651,NA
methionine.sulfoxide,0.16616777,NA
glycerol.3.phosphate,-0.209491636,NA
imidazole.lactate,-0.258045435,NA
ribitol,0.422517048,NA
X4.methyl.2.oxopentanoate,0.291017151,NA
X1.5.anhydroglucitol..1.5.AG.,-0.522795882,NA
alpha.hydroxyisocaproate,0.202795406,NA
cysteine.s.sulfate,0.218860261,NA
oxalate..ethanedioate.,-0.278260205,NA
ribonate,0.311634715,NA
threonate,-0.246918884,NA
butyrylcarnitine..C4.,0.231322008,NA
X7.ketodeoxycholate,0.177516329,NA
X3.methylxanthine,-0.152845987,NA
pyridoxate,-0.18043174,NA
gamma.glutamylvaline,0.343385339,NA
pro.hydroxy.pro,-0.321494417,NA
X10.undecenoate..11.1n1.,-0.208069747,NA
X1.stearoyl.GPC..18.0.,-0.410951754,NA
X1.oleoyl.GPC..18.1.,-0.445343112,NA
alpha.hydroxyisovalerate,0.235432599,NA
Fibrinopeptide.A.,0.455545044,NA
stearoylcarnitine..C18.,-0.183646271,NA
X7.methylxanthine,-0.162381213,NA
N2.N2.dimethylguanosine,0.239640982,NA
cysteine.glutathione.disulfide,-0.229946749,NA
gamma.glutamylisoleucine.,0.430027245,NA
X1.palmitoleoyl.GPC..16.1..,-0.224786197,NA
hexanoylglycine,-0.215215454,NA
glutamine_degradant.,-0.235058736,NA
X2.hydroxy.3.methylvalerate,0.290914379,NA
homostachydrine.,-0.19091206,NA
glutarylcarnitine..C5.DC.,-0.185036866,NA
N.acetyl.aspartyl.glutamate..NAAG.,-0.179849304,NA
X3.methyladipate,-0.172760565,NA
dimethylarginine..SDMA...ADMA.,-0.164596073,NA
X1.stearoyl.2.oleoyl.GPE..18.0.18.1.,0.342980681,NA
X1.palmitoyl.2.linoleoyl.GPE..16.0.18.2.,0.1866608,NA
glycosyl.N.stearoyl.sphingosine..d18.1.18.0.,-0.252955979,NA
glycocholenate.sulfate.,0.153892865,NA
X5alpha.pregnan.3beta.20alpha.diol.monosulfate..2.,-0.18205962,NA
gamma.CEHC,-0.156132587,NA
cysteine.sulfinic.acid,0.176351055,NA
X5.HETE,0.164863001,NA
cinnamoylglycine,-0.383602385,NA
S.methylcysteine,-0.226659258,NA
argininate.,0.283472965,NA
leukotriene.B5,0.179633792,NA
X1..1.enyl.palmitoyl..GPC..P.16.0..,-0.498787013,NA
isoleucylglycine,-0.32358376,NA
X2.O.methylascorbic.acid,0.267598961,NA
imidazole.propionate,0.284294541,NA
pregnanediol.3.glucuronide,-0.238291339,NA
phenylalanylglycine,-0.18641825,NA
valylglycine,-0.175029878,NA
mannonate.,0.570549189,NA
dimethyl.sulfone,0.159721719,NA
X2.piperidinone,0.251325104,NA
X6.oxopiperidine.2.carboxylate,0.238736084,NA
X2.aminoheptanoate,0.35403675,NA
X1.linolenoyl.GPC..18.3..,-0.296366262,NA
fructosyllysine,0.54799488,NA
ferulic.acid.4.sulfate,0.151759475,NA
methyl.glucopyranoside..alpha...beta.,-0.397443072,NA
X2.keto.3.deoxy.gluconate,0.376956746,NA
myristoleoylcarnitine..C14.1..,-0.150305124,NA
N.acetylhistamine,0.219892526,NA
X4.hydroxyphenylacetoylcarnitine,0.177930096,NA
X2.hydroxylaurate,0.168511173,NA
X1..1.enyl.palmitoyl..2.oleoyl.GPC..P.16.0.18.1..,-0.551308156,NA
palmitoyl.linoleoyl.glycerol..16.0.18.2...1..,0.245234811,NA
palmitoyl.linoleoyl.glycerol..16.0.18.2...2..,0.317175919,NA
X1..1.enyl.palmitoyl..2.palmitoleoyl.GPC..P.16.0.16.1..,-0.464018414,NA
X1.linoleoyl.GPG..18.2..,0.224861527,NA
palmitoylcholine,-0.635554732,NA
glycochenodeoxycholate.glucuronide..1.,0.282569428,NA
oleoylcholine,-0.631401546,NA
arachidonoylcholine,-0.581844037,NA
docosahexaenoylcholine,-0.592759024,NA
eicosapentaenoylcholine,-0.540791388,NA
X1.palmitoleoyl.2.linolenoyl.GPC..16.1.18.3..,-0.202834893,NA
linoleoyl.arachidonoyl.glycerol..18.2.20.4...1..,0.356533843,NA
palmitoyl.arachidonoyl.glycerol..16.0.20.4...2..,0.3096278,NA
glycosyl.N.behenoyl.sphingadienine..d18.2.22.0..,-0.4144392,NA
X2.hydroxybehenate,0.32677838,NA
N.palmitoylserine,-0.243132102,NA
N.oleoylserine,-0.279058588,NA
stearoylcholine.,-0.632222101,NA
linoleoylcholine.,-0.664065642,NA
sphingomyelin..d18.2.21.0..d16.2.23.0..,-0.155477417,NA
sphingomyelin..d17.2.16.0..d18.2.15.0..,-0.171259953,NA
linolenoylcarnitine..C18.3..,-0.169998534,NA
ximenoylcarnitine..C26.1..,-0.165497143,NA
eicosenoylcarnitine..C20.1..,-0.203845883,NA
cortolone.glucuronide..1.,0.36326618,NA
X5.dodecenoylcarnitine..C12.1.,-0.188487768,NA
glucuronide.of.C10H18O2..7..,0.170332458,NA
sphingomyelin..d17.1.14.0..d16.1.15.0..,-0.29181425,NA
N.N.dimethylalanine,-0.346939368,NA
ethyl.beta.glucopyranoside,-0.270568649,NA
enterolactone.sulfate,-0.214068752,NA
X2.acrylamidoglycolic.acid,-0.182933756,NA
X2.hydroxy.4..methylthio.butanoic.acid,0.238221911,NA
chenodeoxycholic.acid.sulfate..1.,0.325009295,NA
deoxycholic.acid.12.sulfate.,0.370442795,NA
GlcNAc.sulfate.conjugate.of.C21H34O2.steroid..,0.159561229,NA
X2.methoxyhydroquinone.sulfate..1.,0.223659073,NA
tetrahydrocortisol.glucuronide,0.299784878,NA
tetrahydrocortisone.glucuronide..5.,0.346916918,NA
X.11308,0.310478627,NA
X.11315,-0.360560336,NA
X.11378,0.326015652,NA
X.11444,0.253354689,NA
X.11880,0.246631608,NA
X.12456,0.498364449,NA
X.13431,-0.205148108,NA
X.13658,0.285914273,NA
X.15245,0.344016367,NA
X.16935,0.408752029,NA
X.17010,0.237236471,NA
X.17354,-0.319584105,NA
X.17357,0.268840288,NA
X.17653,0.236025601,NA
X.17654,0.235279313,NA
X.17765,0.183484461,NA
X.18887,-0.288326077,NA
X.18921,-0.220890511,NA
X.21312,-0.178203251,NA
X.21339,0.32062469,NA
X.21442,-0.195552093,NA
X.21467,0.431772684,NA
X.21471,0.391086645,NA
X.21742,-0.241975166,NA
X.22162,-0.17023927,NA
X.22509,-0.248157151,NA
X.23639,-0.222300117,NA
X.24295,0.377121286,NA
X.24475,-0.286538766,NA
X.24556,-0.210215925,NA
X.24588,0.185076076,NA
X.24608,0.16740615,NA
X.24951,0.226476775,NA
X.25519,0.305231515,NA
X.25936,0.389017529,NA
