Name,Effect Size of Serum Metformin,Effect Size of HbA1c
arginine,-0.395963417,-0.173184819
deoxycholate,0.315270666,0.311098681
lactose,0.419053641,0.519449242
arabinose,0.079686118,0.193015611
X3.methyl.2.oxovalerate,0.373207038,0.353157822
X1.stearoyl.GPI..18.0.,-0.228802301,-0.223770708
pyridoxate,-0.078614965,-0.18043174
X5.dodecenoate..12.1n7.,-0.210304743,-0.185362884
erythronate.,0.358922105,0.335329037
N4.acetylcytidine,0.252537982,0.195956831
orotidine,0.302172109,0.210959756
ferulic.acid.4.sulfate,0.088141797,0.151759475
sphingomyelin..d18.2.14.0..d18.1.14.1..,-0.245061732,-0.196776059
X5alpha.androstan.3alpha.17beta.diol.monosulfate..2.,0.185032062,0.164017591
N.acetylhistamine,0.100699085,0.219892526
X1.palmitoyl.2.docosahexaenoyl.GPE..16.0.22.6..,0.222599908,0.217765585
X1.stearoyl.2.docosahexaenoyl.GPE..18.0.22.6..,0.319412806,0.35677866
palmitoloelycholine,-0.350171297,-0.52562339
dihomo.linolenoyl.choline,-0.349558574,-0.540184315
linoleoyl.arachidonoyl.glycerol..18.2.20.4...2..,0.291157747,0.312161475
palmitoyl.arachidonoyl.glycerol..16.0.20.4...2..,0.263768351,0.3096278
oleoyl.arachidonoyl.glycerol..18.1.20.4...2..,0.353552499,0.391580625
linoleoyl.linoleoyl.glycerol..18.2.18.2...1..,0.236218084,0.232872231
linoleoyl.linoleoyl.glycerol..18.2.18.2...2..,0.097504181,0.175890085
glycosyl.ceramide..d18.2.24.1..d18.1.24.2..,-0.427746446,-0.409849825
glycosyl.ceramide..d18.1.23.1..d17.1.24.1..,-0.210344514,-0.291606547
sphingomyelin..d18.2.23.1..,-0.288586135,-0.247719211
N.stearoylserine.,-0.333344081,-0.390231065
X2.hydroxyheptanoate.,0.299561157,0.273422495
dihydroferulic.acid.sulfate,0.236976341,0.170619711
X3.hydroxyhexanoylcarnitine..1.,0.268630114,0.15879597
X.10458,0.100916427,0.209201424
X.16087,0.269590743,0.23743478
X.16397,-0.429851671,-0.248701135
X.17765,0.127310462,0.183484461
X.22162,-0.0948471,-0.17023927
X.23593,0.247834871,0.16815005
X.23662,0.383460779,0.399644175
X.24411,0.275849111,0.237815859
X.24736,-0.154601617,-0.212160571
X12.13.DiHOME,-0.228744764,NA
X3.hydroxy.3.methylglutarate,0.252365335,NA
cholate,-0.188007086,NA
X4.hydroxyphenylacetate,0.290312453,NA
N6.N6.N6.trimethyllysine,-0.616790843,NA
N.formylmethionine,0.207075774,NA
X2.hydroxyphenylacetate,0.156865573,NA
X3.hydroxybutyrate..BHBA.,0.065779885,NA
cortisone,-0.08748394,NA
fumarate,0.136462125,NA
glycine,-0.18349019,NA
citrulline,-0.459528256,NA
malate,0.264063688,NA
nicotinamide,0.083594738,NA
ornithine,-0.146454303,NA
phosphate,0.090556108,NA
retinol..Vitamin.A.,0.236695788,NA
adenosine,0.069340546,NA
alanine,0.40938392,NA
pseudouridine,0.075105391,NA
cytosine,0.106908353,NA
asparagine,-0.064094557,NA
caproate..6.0.,0.156482871,NA
picolinate,-0.071551164,NA
pantothenate,0.182276338,NA
pipecolate,0.072970579,NA
N.acetylalanine,0.166872497,NA
X4.acetamidobutanoate,0.072841909,NA
X2.aminobutyrate,0.093265628,NA
butyrate.isobutyrate..4.0.,0.064772747,NA
choline,0.068327291,NA
palmitoyl.ethanolamide,-0.062988263,NA
benzoate,0.159685137,NA
X3.methylhistidine,0.063088708,NA
N.acetylglutamate,0.209292995,NA
quinate,0.065191643,NA
maleate,0.3164341,NA
X4.acetylphenol.sulfate,-0.21249581,NA
X3.hydroxyoctanoate,0.430312101,NA
X2.3.dihydroxypyridine,0.099666192,NA
homocitrulline,0.28054384,NA
X3.hydroxydecanoate,0.344956688,NA
glycolithocholate,0.16008248,NA
X1.3.dimethylurate,0.062990622,NA
X3.hydroxylaurate,0.146635898,NA
threonylphenylalanine,-0.072684374,NA
X3.hydroxysebacate,0.366087421,NA
X5.hydroxyhexanoate,0.126288192,NA
X2.hydroxyadipate,0.066523531,NA
X1.methylhistamine,0.162910254,NA
X4.imidazoleacetate,0.072811489,NA
sebacate..C10.DC.,0.067432012,NA
tauro.beta.muricholate,-0.278346138,NA
N.acetylthreonine,0.123016961,NA
N.acetylisoleucine,0.292587254,NA
hyocholate,-0.219647809,NA
N.acetylhistidine,0.065599792,NA
nicotinamide.riboside,0.16515057,NA
HWESASXX.,0.083222183,NA
indolebutyrate,-0.166612549,NA
X2.myristoylglycerol..14.0.,-0.070027238,NA
phenylacetylglutamine,0.132974805,NA
isovalerylglycine,-0.095056171,NA
X3.hydroxydodecanedioate.,0.357224094,NA
X1.docosahexaenoylglycerol..22.6.,-0.074317111,NA
oleoylcarnitine..C18.1.,-0.061273448,NA
X2.palmitoleoyl.GPC..16.1..,-0.21053407,NA
X1.oleoyl.GPE..18.1.,0.065823143,NA
N.acetylcitrulline,0.115810351,NA
gulonate.,0.122089047,NA
cholesterol.sulfate,0.135709987,NA
undecanedioate..C11.DC.,0.08778956,NA
X1.arachidonoyl.GPI..20.4..,-0.073203242,NA
X1.palmitoyl.GPI..16.0.,-0.212439412,NA
taurolithocholate.3.sulfate,-0.188130602,NA
X3.4.dihydroxybutyrate,0.299067318,NA
N6.acetyllysine,0.154449474,NA
N6.carboxymethyllysine,0.147137174,NA
N.acetylserine,0.120571105,NA
chiro.inositol,-0.067783463,NA
taurocholenate.sulfate.,-0.191904687,NA
X2.hydroxyglutarate,0.111054614,NA
dexpanthenol,-0.104091685,NA
formiminoglutamate,0.3154268,NA
pantoate,0.073080431,NA
androsterone.glucuronide,0.166923247,NA
ethyl.glucuronide,-0.095981166,NA
docosadioate..C22.DC.,0.070508071,NA
oleoyl.linoleoyl.glycerol..18.1.18.2...1.,0.263127044,NA
oleoyl.linoleoyl.glycerol..18.1.18.2...2.,0.276618609,NA
carboxyethyl.GABA,0.098282475,NA
beta.citrylglutamate,0.256595864,NA
trimethylamine.N.oxide,0.221991737,NA
dihydroferulate,0.121064848,NA
alliin,0.103068947,NA
phenylalanylalanine,-0.168256543,NA
prolylglycine,0.301923984,NA
succinimide,0.108783789,NA
diglycerol,0.134019865,NA
lanthionine,0.097730486,NA
X.R..3.hydroxybutyrylcarnitine,0.391390803,NA
histidine.betaine..hercynine..,-0.174230559,NA
retinal,0.085449634,NA
X3.methyl.catechol.sulfate..1.,0.087642044,NA
guaiacol.sulfate,0.092902505,NA
indolin.2.one,0.159166283,NA
X3.hydroxyadipate,0.464986908,NA
methionine.sulfone,0.176489162,NA
X17alpha.hydroxypregnanolone.glucuronide,0.165029322,NA
N.acetyltaurine,0.151771277,NA
X1.oleoyl.GPG..18.1..,0.142981135,NA
alpha.CEHC.sulfate,0.095333381,NA
sphingomyelin..d18.1.24.1..d18.2.24.0..,-0.314722926,NA
octadecanedioylcarnitine..C18.DC..,0.062975454,NA
N.formylphenylalanine,-0.087746718,NA
arabonate.xylonate,0.063332769,NA
X4.methoxyphenol.sulfate,-0.189894431,NA
X2.docosahexaenoylglycerol..22.6..,-0.17862709,NA
dopamine.4.sulfate,0.220033678,NA
X3.hydroxyhexanoate,0.177329021,NA
N.carbamoylalanine,0.071725874,NA
citraconate.glutaconate,0.072303812,NA
glycochenodeoxycholate.3.sulfate,-0.104508112,NA
taurodeoxycholic.acid.3.sulfate,-0.194065931,NA
linoleoyl.ethanolamide,-0.091338821,NA
X1..1.enyl.stearoyl..2.oleoyl.GPE..P.18.0.18.1.,0.091821448,NA
X4.HDoHE,-0.095984139,NA
sphingomyelin..d18.2.24.1..d18.1.24.2..,-0.412977138,NA
X1.stearoyl.2.arachidonoyl.GPE..18.0.20.4.,0.318674042,NA
X1.palmitoyl.2.arachidonoyl.GPE..16.0.20.4..,0.291410299,NA
lactosyl.N.palmitoyl.sphingosine..d18.1.16.0.,-0.415862546,NA
X5.hydroxyindole.sulfate,0.123188214,NA
phenylacetylglutamate,0.187713039,NA
X1.oleoyl.2.arachidonoyl.GPE..18.1.20.4..,0.252089547,NA
X1.oleoyl.2.docosahexaenoyl.GPE..18.1.22.6..,0.269651579,NA
X2.methylserine,0.080377022,NA
X.S..3.hydroxybutyrylcarnitine,0.492006955,NA
caffeic.acid.sulfate,0.226101867,NA
palmitoleoylcarnitine..C16.1..,-0.103352227,NA
pimeloylcarnitine.3.methyladipoylcarnitine..C7.DC.,-0.382242884,NA
X4.acetamidobenzoate,-0.215330592,NA
indolepropionylglycine,-0.315869526,NA
X2.3.dihydroxy.2.methylbutyrate,0.207945627,NA
oleoyl.oleoyl.glycerol..18.1.18.1....1..,0.264498038,NA
oleoyl.oleoyl.glycerol..18.1.18.1...2..,0.236140653,NA
palmitoleoyl.linoleoyl.glycerol..16.1.18.2...1..,0.226500928,NA
oleoyl.arachidonoyl.glycerol..18.1.20.4...1..,0.334229868,NA
diacylglycerol..16.1.18.2..2...16.0.18.3..1...,0.278238947,NA
perfluorooctanesulfonate..PFOS.,0.071833099,NA
N.palmitoyl.sphingadienine..d18.2.16.0..,-0.081488129,NA
palmitoyl.docosahexaenoyl.glycerol..16.0.22.6...1..,0.211573352,NA
lactosyl.N.nervonoyl.sphingosine..d18.1.24.1..,-0.410410361,NA
N.stearoyl.sphingadienine..d18.2.18.0..,0.096605605,NA
N.palmitoyl.heptadecasphingosine..d17.1.16.0..,0.065031013,NA
glycosyl.N.tricosanoyl.sphingadienine..d18.2.23.0..,-0.3199577,NA
X1.cerotoyl.GPC..26.0..,-0.180031514,NA
nisinate..24.6n3.,0.151135668,NA
sphingomyelin..d18.2.24.2..,-0.352351253,NA
docosapentaenoylcarnitine..C22.5n3..,-0.091468083,NA
N.N.N.trimethyl.5.aminovalerate,0.329057475,NA
X2.hydroxyarachidate.,0.170768351,NA
heptenedioate..C7.1.DC..,0.066979367,NA
X3.formylindole,0.072574495,NA
gamma.glutamylcitrulline.,-0.460989494,NA
glycine.conjugate.of.C10H14O2..1..,0.094889692,NA
glutamine.conjugate.of.C6H10O2..1..,0.173507096,NA
glutamine.conjugate.of.C6H10O2..2..,0.17226362,NA
X3.amino.2.piperidone,-0.188617542,NA
ascorbic.acid.3.sulfate.,0.130534798,NA
X3.hydroxyhippurate.sulfate,0.067443677,NA
cholic.acid.glucuronide,-0.280251983,NA
X1.heptadecenoylglycerol..17.1..,0.099055969,NA
X4.acetylcatechol.sulfate..1.,-0.169958614,NA
dimethylguanidino.valeric.acid..DMGV..,0.37819897,NA
X5.hydroxy.2.methylpyridine.sulfate,-0.081044496,NA
X5.hydroxymethyl.2.furoylcarnitine.,0.164388405,NA
taurochenodeoxycholic.acid.3.sulfate,-0.333427489,NA
eicosenedioate..C20.1.DC..,-0.120166335,NA
X3.decenoylcarnitine,0.142632406,NA
levulinoylcarnitine,0.249307832,NA
feruloylquinate..4.,0.062767807,NA
X.2.or.3..decenoate..10.1n7.or.n8.,0.062971478,NA
branched.chain..straight.chain..or.cyclopropyl.10.1.fatty.acid..1..,-0.278425385,NA
bilirubin.degradation.product..C16H18N2O5..1...,-0.116151418,NA
bilirubin.degradation.product..C16H18N2O5..2...,-0.095214342,NA
bilirubin.degradation.product..C17H20N2O5..1...,-0.063916876,NA
bilirubin.degradation.product..C16H18N2O5..3...,-0.122602612,NA
bilirubin.degradation.product..C16H18N2O5..4...,-0.120825858,NA
X.11787,0.225024433,NA
X.12007,0.19656773,NA
X.12101,0.245625267,NA
X.12112,0.081842454,NA
X.12127,0.140865838,NA
X.12680,0.082075486,NA
X.12714,0.200257708,NA
X.12718,0.292282515,NA
X.12726,-0.221746216,NA
X.12738,-0.077773766,NA
X.12830,-0.087372585,NA
X.12849,0.066221392,NA
X.12851,0.123998488,NA
X.13507,0.277952533,NA
X.13723,0.179748433,NA
X.13729,0.139842325,NA
X.13866,0.065701035,NA
X.14082,0.087104994,NA
X.15461,0.389122015,NA
X.16580,0.322554374,NA
X.16964,0.078363562,NA
X.17301,0.063221795,NA
X.17328,0.127153715,NA
X.17343,0.080273519,NA
X.17673,0.111181688,NA
X.17969,-0.151275029,NA
X.18886,0.330656039,NA
X.18922,0.255060291,NA
X.19438,0.203942916,NA
X.21736,0.27991193,NA
X.21796,0.06866236,NA
X.21839,-0.091768506,NA
X.21842,-0.218519009,NA
X.21845,-0.071440369,NA
X.22834,0.246875505,NA
X.23641,0.248262856,NA
X.23648,0.331842709,NA
X.23659,0.187923333,NA
X.23997,0.066914137,NA
X.24243,0.194249107,NA
X.24410,0.30130364,NA
X.24425,-0.136910588,NA
X.24519,0.312832096,NA
X.24549,0.094669087,NA
X.24669,-0.135038843,NA
X.24728,0.327558916,NA
X.24747,-0.098285334,NA
X.25418,0.095536749,NA
X.25454,0.274451582,NA
X.25855,0.344190331,NA
X.25957,0.067312356,NA
X.26106,0.130993517,NA
X.26107,0.359694797,NA
X.26108,0.52083171,NA
alpha.ketoglutarate,NA,0.343230545
X5.methylthioadenosine..MTA.,NA,0.228374529
aspartate,NA,0.192249892
choline.phosphate,NA,-0.209805151
gluconate,NA,0.442561752
glutarate..C5.DC.,NA,0.185896065
glycocholate,NA,0.185223383
isoleucine,NA,0.494592513
leucine,NA,0.493842111
leukotriene.B4,NA,0.187666712
orotate,NA,-0.186976416
phytanate,NA,-0.179527736
pyridoxal,NA,-0.223971624
glutamate,NA,0.442977526
glutamine,NA,-0.226189066
valine,NA,0.45670803
glucose,NA,0.742055735
alpha.ketobutyrate,NA,0.334601592
mannose,NA,0.632315282
pyruvate,NA,0.487673311
fructose,NA,0.420377252
maltose,NA,0.314249296
xanthine,NA,0.267449252
glycerate,NA,-0.255352509
N.acetylleucine,NA,0.434755077
bilirubin..Z.Z.,NA,-0.272922524
vanillylmandelate..VMA.,NA,-0.154248356
X3.aminoisobutyrate,NA,-0.25232805
chenodeoxycholate,NA,0.162361106
urate,NA,0.228313077
gamma.glutamylglutamine,NA,-0.236334696
gamma.glutamylleucine,NA,0.373365414
beta.hydroxyisovalerate,NA,0.258212025
X1.palmitoyl.2.oleoyl.GPE..16.0.18.1.,NA,0.355819316
X1.palmitoyl.2.linoleoyl.GPI..16.0.18.2.,NA,0.168917651
methionine.sulfoxide,NA,0.16616777
glycerol.3.phosphate,NA,-0.209491636
imidazole.lactate,NA,-0.258045435
ribitol,NA,0.422517048
X4.methyl.2.oxopentanoate,NA,0.291017151
X1.5.anhydroglucitol..1.5.AG.,NA,-0.522795882
alpha.hydroxyisocaproate,NA,0.202795406
cysteine.s.sulfate,NA,0.218860261
oxalate..ethanedioate.,NA,-0.278260205
ribonate,NA,0.311634715
threonate,NA,-0.246918884
butyrylcarnitine..C4.,NA,0.231322008
X7.ketodeoxycholate,NA,0.177516329
trigonelline..N..methylnicotinate.,NA,-0.180981902
X3.methylxanthine,NA,-0.152845987
gamma.glutamylvaline,NA,0.343385339
pro.hydroxy.pro,NA,-0.321494417
X10.undecenoate..11.1n1.,NA,-0.208069747
X1.stearoyl.GPC..18.0.,NA,-0.410951754
X1.oleoyl.GPC..18.1.,NA,-0.445343112
alpha.hydroxyisovalerate,NA,0.235432599
Fibrinopeptide.A.,NA,0.455545044
stearoylcarnitine..C18.,NA,-0.183646271
X7.methylxanthine,NA,-0.162381213
N2.N2.dimethylguanosine,NA,0.239640982
cysteine.glutathione.disulfide,NA,-0.229946749
gamma.glutamylisoleucine.,NA,0.430027245
X1.palmitoleoyl.GPC..16.1..,NA,-0.224786197
hexanoylglycine,NA,-0.215215454
glutamine_degradant.,NA,-0.235058736
X2.hydroxy.3.methylvalerate,NA,0.290914379
homostachydrine.,NA,-0.19091206
glutarylcarnitine..C5.DC.,NA,-0.185036866
N.acetyl.aspartyl.glutamate..NAAG.,NA,-0.179849304
X3.methyladipate,NA,-0.172760565
pyrraline,NA,0.174270239
dimethylarginine..SDMA...ADMA.,NA,-0.164596073
X1.stearoyl.2.oleoyl.GPE..18.0.18.1.,NA,0.342980681
X1.palmitoyl.2.linoleoyl.GPE..16.0.18.2.,NA,0.1866608
glycosyl.N.stearoyl.sphingosine..d18.1.18.0.,NA,-0.252955979
glycocholenate.sulfate.,NA,0.153892865
X5alpha.pregnan.3beta.20alpha.diol.monosulfate..2.,NA,-0.18205962
gamma.CEHC,NA,-0.156132587
cysteine.sulfinic.acid,NA,0.176351055
X5.HETE,NA,0.164863001
cinnamoylglycine,NA,-0.383602385
S.methylcysteine,NA,-0.226659258
argininate.,NA,0.283472965
leukotriene.B5,NA,0.179633792
X1..1.enyl.palmitoyl..GPC..P.16.0..,NA,-0.498787013
isoleucylglycine,NA,-0.32358376
X2.O.methylascorbic.acid,NA,0.267598961
imidazole.propionate,NA,0.284294541
pregnanediol.3.glucuronide,NA,-0.238291339
phenylalanylglycine,NA,-0.18641825
valylglycine,NA,-0.175029878
mannonate.,NA,0.570549189
dimethyl.sulfone,NA,0.159721719
X2.piperidinone,NA,0.251325104
X2.aminophenol.sulfate,NA,-0.183340237
X6.oxopiperidine.2.carboxylate,NA,0.238736084
X2.aminoheptanoate,NA,0.35403675
X1.linolenoyl.GPC..18.3..,NA,-0.296366262
fructosyllysine,NA,0.54799488
methyl.glucopyranoside..alpha...beta.,NA,-0.397443072
X2.keto.3.deoxy.gluconate,NA,0.376956746
myristoleoylcarnitine..C14.1..,NA,-0.150305124
X4.hydroxyphenylacetoylcarnitine,NA,0.177930096
X2.hydroxylaurate,NA,0.168511173
X1..1.enyl.palmitoyl..2.oleoyl.GPC..P.16.0.18.1..,NA,-0.551308156
palmitoyl.linoleoyl.glycerol..16.0.18.2...1..,NA,0.245234811
palmitoyl.linoleoyl.glycerol..16.0.18.2...2..,NA,0.317175919
X1..1.enyl.palmitoyl..2.palmitoleoyl.GPC..P.16.0.16.1..,NA,-0.464018414
X1.linoleoyl.GPG..18.2..,NA,0.224861527
palmitoylcholine,NA,-0.635554732
glycochenodeoxycholate.glucuronide..1.,NA,0.282569428
oleoylcholine,NA,-0.631401546
arachidonoylcholine,NA,-0.581844037
docosahexaenoylcholine,NA,-0.592759024
eicosapentaenoylcholine,NA,-0.540791388
X1.palmitoleoyl.2.linolenoyl.GPC..16.1.18.3..,NA,-0.202834893
linoleoyl.arachidonoyl.glycerol..18.2.20.4...1..,NA,0.356533843
glycosyl.N.behenoyl.sphingadienine..d18.2.22.0..,NA,-0.4144392
X2.hydroxybehenate,NA,0.32677838
N.palmitoylserine,NA,-0.243132102
N.oleoylserine,NA,-0.279058588
stearoylcholine.,NA,-0.632222101
linoleoylcholine.,NA,-0.664065642
sphingomyelin..d18.2.21.0..d16.2.23.0..,NA,-0.155477417
sphingomyelin..d17.2.16.0..d18.2.15.0..,NA,-0.171259953
linolenoylcarnitine..C18.3..,NA,-0.169998534
ximenoylcarnitine..C26.1..,NA,-0.165497143
eicosenoylcarnitine..C20.1..,NA,-0.203845883
cortolone.glucuronide..1.,NA,0.36326618
X5.dodecenoylcarnitine..C12.1.,NA,-0.188487768
trans.2.hexenoylglycine,NA,-0.172362484
glucuronide.of.C10H18O2..7..,NA,0.170332458
hydroxyasparagine..,NA,0.196154164
sphingomyelin..d17.1.14.0..d16.1.15.0..,NA,-0.29181425
N.N.dimethylalanine,NA,-0.346939368
ethyl.beta.glucopyranoside,NA,-0.270568649
enterolactone.sulfate,NA,-0.214068752
X2.acrylamidoglycolic.acid,NA,-0.182933756
tetradecadienedioate..C14.2.DC..,NA,-0.168488594
X2.hydroxy.4..methylthio.butanoic.acid,NA,0.238221911
chenodeoxycholic.acid.sulfate..1.,NA,0.325009295
X3.bromo.5.chloro.2.6.dihydroxybenzoic.acid.,NA,0.182783463
deoxycholic.acid.12.sulfate.,NA,0.370442795
GlcNAc.sulfate.conjugate.of.C21H34O2.steroid..,NA,0.159561229
X2.methoxyhydroquinone.sulfate..1.,NA,0.223659073
tetrahydrocortisol.glucuronide,NA,0.299784878
tetrahydrocortisone.glucuronide..5.,NA,0.346916918
perfluorohexanesulfonate..PFHxS.,NA,0.233513711
X.11308,NA,0.310478627
X.11315,NA,-0.360560336
X.11378,NA,0.326015652
X.11444,NA,0.253354689
X.11880,NA,0.246631608
X.12456,NA,0.498364449
X.12544,NA,-0.2435165
X.12798,NA,-0.15992481
X.12816,NA,-0.181431817
X.13431,NA,-0.205148108
X.13658,NA,0.285914273
X.15245,NA,0.344016367
X.16935,NA,0.408752029
X.17010,NA,0.237236471
X.17354,NA,-0.319584105
X.17357,NA,0.268840288
X.17653,NA,0.236025601
X.17654,NA,0.235279313
X.18887,NA,-0.288326077
X.18921,NA,-0.220890511
X.21312,NA,-0.178203251
X.21319,NA,-0.171301455
X.21339,NA,0.32062469
X.21442,NA,-0.195552093
X.21467,NA,0.431772684
X.21471,NA,0.391086645
X.21742,NA,-0.241975166
X.22509,NA,-0.248157151
X.23639,NA,-0.222300117
X.24295,NA,0.377121286
X.24475,NA,-0.286538766
X.24556,NA,-0.210215925
X.24588,NA,0.185076076
X.24608,NA,0.16740615
X.24812,NA,0.155214323
X.24951,NA,0.226476775
X.25519,NA,0.305231515
X.25936,NA,0.389017529
