CHEMICAL_NAME,HMDB,Source,xlogP3,Effect Size of Serum Metformin,Effect Size of HbA1c
arabinose,HMDB0029942,Host,-2.5823000000000000,0.079686118,0.193015611
arginine,HMDB0000517,Exogenous,-1.338430000000000,-0.395963417,-0.173184819
deoxycholate,HMDB0000626,Gut,4.4779000000000000,0.315270666,0.311098681
dihomo-linolenoyl-choline,HMDB0240646,Host,6.408690000000010,-0.349558574,-0.540184315
dihydroferulic acid sulfate,HMDB0041724,Host,0.8940000000000000,0.236976341,0.170619711
erythronate*,HMDB0000613,Host,-2.2149000000000000,0.358922105,0.335329037
ferulic acid 4-sulfate,HMDB0029200,Host,0.9746000000000000,0.088141797,0.151759475
"glycosyl ceramide (d18:1/23:1, d17:1/24:1)*",NA,Unknown,9.893899999999990,-0.210344514,-0.291606547
"glycosyl ceramide (d18:2/24:1, d18:1/24:2)*",NA,Unknown,10.06,-0.427746446,-0.409849825
lactose,HMDB0041627,Exogenous,-5.397199999999990,0.419053641,0.519449242
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,HMDB0007257,Host,11.392900000000000,0.291157747,0.312161475
linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*,HMDB0007248,Host,11.060700000000000,0.236218084,0.232872231
linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*,HMDB0007248,Host,11.060700000000000,0.097504181,0.175890085
N-acetylhistamine,HMDB0013253,Host,0.08829999999999990,0.100699085,0.219892526
N-stearoylserine*,NA,Unknown,4.809600000000000,-0.333344081,-0.390231065
N4-acetylcytidine,HMDB0005923,Host,-2.186800000000000,0.252537982,0.195956831
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,HMDB0007228,Host,11.616900000000000,0.353552499,0.391580625
orotidine,HMDB0000788,Host,-3.1537,0.302172109,0.210959756
palmitoloelycholine,HMDB0013208,Host,5.296290000000010,-0.350171297,-0.52562339
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*,HMDB0007112,Host,11.060700000000000,0.263768351,0.3096278
pyridoxate,HMDB0000017,Host,0.28612000000000000,-0.078614965,-0.18043174
"sphingomyelin (d18:2/14:0, d18:1/14:1)*","HMDB0240637,HMDB0240612",Host,8.774300000000010,-0.245061732,-0.196776059
sphingomyelin (d18:2/23:1)*,HMDB0240668,Host,12.061200000000000,-0.288586135,-0.247719211
X-10458,NA,Unknown,,0.100916427,0.209201424
X-16087,NA,Unknown,,0.269590743,0.23743478
X-16397,NA,Unknown,,-0.429851671,-0.248701135
X-17765,NA,Unknown,,0.127310462,0.183484461
X-22162,NA,Unknown,,-0.0948471,-0.17023927
X-23593,NA,Unknown,,0.247834871,0.16815005
X-23662,NA,Unknown,,0.383460779,0.399644175
X-24411,NA,Unknown,,0.275849111,0.237815859
X-24736,NA,Unknown,,-0.154601617,-0.212160571
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,HMDB0008946,Host,11.49290000000000,0.222599908,0.217765585
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*,HMDB0009012,Host,12.273100000000000,0.319412806,0.35677866
1-stearoyl-GPI (18:0),HMDB0240261,Host,2.4723000000000000,-0.228802301,-0.223770708
2-hydroxyheptanoate*,NA,Unknown,1.0122000000000000,0.299561157,0.273422495
3-hydroxyhexanoylcarnitine (1),NA,Unknown,-0.7044999999999990,0.268630114,0.15879597
3-methyl-2-oxovalerate,HMDB0000491,Host,0.6862000000000000,0.373207038,0.353157822
5-dodecenoate (12:1n7),HMDB0000529,Host,3.767900000000000,-0.210304743,-0.185362884
"5alpha-androstan-3alpha,17beta-diol monosulfate (2)",NA,Unknown,3.578000000000000,0.185032062,0.164017591